"District","Year","AverageNDVI","MaxNDVI","MinNDVI"
"Goromonzi","2007",0.460745918769863,0.659280826,0.304814517
"Goromonzi","2008",0.452723492172131,0.65992692,0.31408209
"Goromonzi","2009",0.471505554052055,0.656025747,0.315441737
"Goromonzi","2010",0.488471753958904,0.664248269,0.313911074
"Goromonzi","2011",0.4766149942,0.68084532,0.312673685
"Goromonzi","2012",0.458924876349727,0.654789696,0.316345027
"Goromonzi","2013",0.460301480641096,0.657669104,0.307172973
"Goromonzi","2014",0.451468803356164,0.668416035,0.312668925
"Goromonzi","2015",0.457439516547945,0.659024398,0.316209679
"Goromonzi","2016",0.462898228639344,0.655508807,0.300659558
"Goromonzi","2017",0.501583450523288,0.693127445,0.33628282
"Goromonzi","2018",0.479622546627397,0.677541979,0.33242079
"Goromonzi","2019",0.446839968813699,0.682518685,0.291402657
"Goromonzi","2020",0.43920480023224,0.660669529,0.295850459
"Goromonzi","2021",0.476041129054945,0.699227494,0.323779196
"Guruve","2000",0.44636139379322,0.6892848,0.276974064
"Guruve","2001",0.502374010968838,0.735834277,0.303599359
"Guruve","2002",0.449653533238356,0.705737557,0.275526767
"Guruve","2003",0.447147357687671,0.676209271,0.284180318
"Guruve","2004",0.471959194087432,0.694138258,0.281669307
"Guruve","2005",0.431345553383562,0.681119353,0.268996469
"Guruve","2006",0.486716340956164,0.733836894,0.291847921
"Guruve","2007",0.460743671416438,0.702866796,0.275748424
"Guruve","2008",0.487962163898907,0.739038651,0.296325424
"Guruve","2009",0.507105780372603,0.721264195,0.291973781
"Guruve","2010",0.474865731627397,0.743456036,0.284731827
"Guruve","2011",0.465052727265753,0.739724084,0.293187098
"Guruve","2012",0.445031087311475,0.690497987,0.272685059
"Guruve","2013",0.459308680578082,0.749142638,0.29243839
"Guruve","2014",0.468449359427397,0.74663843,0.286123433
"Guruve","2015",0.490500659435616,0.727740572,0.288314518
"Guruve","2016",0.436176047765027,0.65794353,0.275268311
"Guruve","2017",0.522641633849315,0.740671599,0.313239843
"Guruve","2018",0.487745240531507,0.721100917,0.290679286
"Guruve","2019",0.438154568893151,0.714655621,0.285077409
"Guruve","2020",0.440951861989071,0.676323659,0.29444247
"Guruve","2021",0.493103373843407,0.747125179,0.303866727
"Gutu","2000",0.400030717976271,0.540320946,0.291934498
"Gutu","2001",0.409665926126405,0.542138025,0.289188663
"Gutu","2002",0.370715603293151,0.533599211,0.27634329
"Gutu","2003",0.380126159232877,0.496581953,0.286013953
"Gutu","2004",0.388544820756831,0.524613003,0.287708119
"Gutu","2005",0.346357792260274,0.470104213,0.253016287
"Gutu","2006",0.405256704120548,0.55685705,0.287806035
"Gutu","2007",0.378927641041096,0.495364277,0.271299339
"Gutu","2008",0.369306088204918,0.541918648,0.286940454
"Gutu","2009",0.389374861884932,0.528436965,0.276742804
"Gutu","2010",0.398865855093151,0.521893146,0.28182031
"Gutu","2011",0.377691822210959,0.536704263,0.267031437
"Gutu","2012",0.364288235964481,0.506361443,0.274229471
"Gutu","2013",0.370340460641096,0.50483187,0.26708879
"Gutu","2014",0.389807247030137,0.541450692,0.285295796
"Gutu","2015",0.383184872671233,0.499686689,0.287448241
"Gutu","2016",0.360118714349727,0.498370609,0.267658352
