"District","Year","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Chivi","2013",9.83669273624725,43.6621872035896,0.359560544912101
"Chivi","2014",13.5185316586295,45.1760826535085,0.11512048549941
"Chivi","2015",5.06946559499527,13.0745304869963,0.02148050156176
"Chivi","2016",8.48000739116206,34.7145448663071,0.131045032209744
"Chivi","2017",12.4665907251566,42.6551270377987,0.371613543030495
"Chivi","2018",10.0693137061807,58.9572598913137,0.0223878166271949
"Chivi","2019",6.08421701997373,23.7969565558375,0
"Gokwe North","2000",22.9632176323167,69.2400514739401,0.26414073262633
"Gokwe North","2001",35.273250078457,188.813232220622,0.122058209878228
"Gokwe North","2002",21.8269931806353,62.0983080924142,0.0333318602605383
"Gokwe North","2003",24.6153273735348,69.2475455807704,0.055231513326262
"Gokwe North","2004",31.4408952263706,104.647412390686,0.00743844940178343
"Gokwe North","2005",22.2993316579149,99.5561029004116,0.0520248916456801
"Gokwe North","2006",34.3647275606373,114.754247555896,0.0122447901217017
"Gokwe North","2007",31.4064343783532,119.124871038806,0.0149358693599576
"Gokwe North","2008",35.5582725924937,157.29880629626,0.00536853560691929
"Gokwe North","2009",26.6570456673766,76.3065063190811,0.0241100067688225
"Gokwe North","2010",25.2787672422952,69.6552794256047,0.00529743539883901
"Gokwe North","2011",30.4147436377993,97.5328829815575,1.77231091476963e-05
"Gokwe North","2012",27.2211508126972,89.2991678687287,0.0136627929158918
"Gokwe North","2013",29.7420136656245,119.084501328071,0.0575741790969772
"Gokwe North","2014",27.4749008423157,96.7979935140002,0.0205800388529871
"Gokwe North","2015",22.061153716611,68.7949298791441,7.22763295069693e-07
"Gokwe North","2016",24.6925458862341,78.2455208776044,0.0440755298129493
"Gokwe North","2017",32.0489309000714,118.130274803849,0.0283058764116825
"Gokwe North","2018",30.0773775565126,170.981283607787,0.00508643026051668
"Gokwe North","2019",18.6277018489173,58.5299830064178,0.0800569090266329
"Gokwe South","2000",34.7029830973772,105.027185116854,0.309968309760477
"Gokwe South","2001",51.3397648678097,282.84585744575,0.0867071581033944
"Gokwe South","2002",30.9082084979755,104.715496505008,0.177878485152977
"Gokwe South","2003",29.6726001703961,88.7254400703544,0.0075176960316314
"Gokwe South","2004",43.5894594976661,150.915820856188,0.0358383414034239
"Gokwe South","2005",30.6375488400032,133.689450776694,0.036308339186471
"Gokwe South","2006",55.2100462707945,190.797831195242,0.0347117742019067
"Gokwe South","2007",37.7696368352679,147.760326385615,0.0343760082845513
"Gokwe South","2008",48.0447600342958,208.509159561349,0.0115052295829075
"Gokwe South","2009",40.3269263173889,126.331022694999,0.297342944707877
"Gokwe South","2010",37.2243879330778,99.290883568163,0.00013103896906293
"Gokwe South","2011",45.0133995321708,166.059144242897,6.00373596171266e-08
"Gokwe South","2012",40.3701245122845,143.344127031284,0.000143347831979055
"Gokwe South","2013",45.4114853960769,206.422654798452,0.0016469497030045
"Gokwe South","2014",39.5672540233019,126.914376614842,0.0169791151708684
"Gokwe South","2015",29.335374164538,76.8228605202893,0.0051983591542618
"Gokwe South","2016",34.4002965221394,114.195200739772,0.0102987788028437
"Gokwe South","2017",45.4589649071807,187.892988601385,0.00521460507058209
"Gokwe South","2018",35.3377155949156,166.381065322137,7.64869208283284e-07
"Gokwe South","2019",26.5466406832068,91.6375816243829,0.0972763265707352
"Goromonzi","2000",11.0242577682685,29.7240716671242,0.0948164536068147
"Goromonzi","2001",14.2779417938861,58.0726726644179,0.00332438383202494
"Goromonzi","2002",6.08599308931656,13.9597243403395,0.151501546531012
"Goromonzi","2003",8.44458367957594,25.0190925823707,0.0320309842142046
"Goromonzi","2004",11.8405814163689,39.1673712257077,0.0112635750437524
"Goromonzi","2005",9.05949124348075,36.9426940720455,0.0142640175882215
"Goromonzi","2006",9.43724525577597,29.3854464902597,0.0276782116602286
"Goromonzi","2007",11.6349246145284,38.5427728670485,0.0878727708933202
"Goromonzi","2008",10.8441573442382,41.6006548686355,0.0815256582264042
"Goromonzi","2009",8.5206419030302,22.7169456383761,0.22557525902772
"Goromonzi","2010",9.12026740294185,23.0658492402119,0.0188904981481256
"Goromonzi","2011",12.05248378011,39.5802789587601,0.00583733921760308
"Goromonzi","2012",8.6169771239527,31.2756660514018,0.000443264471420537
"Goromonzi","2013",10.6940966864397,38.8241103469157,0.00976422156650098
"Goromonzi","2014",11.5778572912241,42.2239602674456,0.00724462996031969
"Goromonzi","2015",8.29101151260119,30.0924970609885,0
"Goromonzi","2016",9.0388233092934,35.3290882823514,4.38212697975127e-05
"Goromonzi","2017",11.9481241033191,50.1436340822893,0.0224775261079605
"Goromonzi","2018",9.12898248182625,44.2291160826589,0.002303581296149
"Goromonzi","2019",6.17687434614609,20.102937209314,0.0212370575833084
"Guruve","2000",21.0000145687757,65.8864936365801,0.133245072410985
